rank,prefix,type,language,loclang,good,total,edits,admins,users,activeusers,images,stubratio,timestamp, 
813,dk.wikimedia.org,special,Danish,,277,625,6352,5,9089,1,2,0.4432,2025-05-02 18:01:34,
814,wikimania2006.wikimedia.org,special,Multilingual,Multilingual,271,1884,12293,1,988,0,218,0.1438,2025-05-02 18:01:37,
815,tt,wikibooks,Tatar,Tatar&#231;a,270,1632,7391,1,2272,2,43,0.1654,2025-05-03 04:01:43,
816,eu,wikiquote,Basque,Euskara,265,1300,12138,1,2921,4,0,0.2038,2025-05-03 05:01:57,
817,kn,wikiquote,Kannada,&#3221;&#3240;&#3277;&#3240;&#3233;,261,1115,9425,2,2208,4,0,0.2341,2025-05-03 05:02:35,
818,el,wikibooks,Greek,&#917;&#955;&#955;&#951;&#957;&#953;&#954;&#940;,250,3903,56343,1,7951,6,1145,0.0641,2025-05-03 04:01:45,
819,ku,wikiquote,Kurdish,Kurd&#238; / &#1603;&#1608;&#1585;&#1583;&#1740;,248,1157,11997,1,4078,3,1,0.2143,2025-05-03 05:03:02,
820,rs.wikimedia.org,special,Serbian,,246,1159,8367,15,82,1,174,0.2123,2025-05-02 18:01:39,
821,kl,wikipedia,Greenlandic,Kalaallisut,245,2280,75757,3,14917,20,0,0.1075,2025-05-03 00:12:15,
822,sl,wikibooks,Slovenian,Sloven&#353;&#269;ina,242,1971,20421,3,4573,7,530,0.1228,2025-05-03 04:01:48,
823,li,wikibooks,Limburgian,Limburgs,241,1187,3169,1,1527,2,1,0.2030,2025-05-03 04:01:50,
824,dv,wiktionary,Divehi,&#1931;&#1960;&#1928;&#1964;&#1920;&#1960;&#1924;&#1958;&#1936;&#1968;,240,1324,9343,1,2600,4,2,0.1813,2025-05-03 01:02:07,
825,wikimania2008.wikimedia.org,special,Multilingual,Multilingual,237,2818,13661,1,3537,0,112,0.0841,2025-05-02 18:01:41,
826,tl,wikibooks,Tagalog,Tagalog,236,2376,28669,1,5143,4,0,0.0993,2025-05-03 04:01:52,
827,bdr,wikipedia,West Coast Bajau,Ling Sama,233,1351,5402,0,817,7,0,0.1725,2025-05-03 00:12:17,
828,ten.wikipedia.org,special,English,,230,4276,26014,1,32179,2,110,0.0538,2025-05-02 18:01:43,
829,ge.wikimedia.org,special,Georgian,&#x10e5;&#x10d0;&#x10e0;&#x10d7;&#x10e3;&#x10da;&#x10d8;,229,2554,6403,4,24,2,2,0.0897,2025-05-02 18:01:46,
830,ur,wikibooks,Urdu,&#1575;&#1585;&#1583;&#1608;,225,1527,9106,1,3806,5,1,0.1473,2025-05-03 04:01:54,
831,da,wikiquote,Danish,Dansk,224,2354,20822,3,9948,4,1,0.0952,2025-05-03 05:03:15,
832,am.wikimedia,special,Armenian,,212,436,3149,4,33,1,26,0.4862,2025-05-02 18:01:48,
833,ja,wikiversity,Japanese,&#26085;&#26412;&#35486;,200,3235,21302,3,18754,12,0,0.0618,2025-05-02 11:00:12,
834,co.wikimedia.org,special,Spanish,,198,1259,11771,11,6355,7,50,0.1573,2025-05-02 18:01:50,
835,ka,wikiquote,Georgian,&#4325;&#4304;&#4320;&#4311;&#4323;&#4314;&#4312;,197,4520,33095,1,5223,8,22,0.0436,2025-05-03 05:02:11,
836,,special,Arabic,,197,2362,4715,1,11,2,1,0.0834,2025-05-02 18:01:52,
837,hi,wikivoyage,Hindi,&#2361;&#2367;&#2344;&#2381;&#2342;&#2368;,197,715,8341,1,2287,10,0,0.2755,2025-05-03 06:00:14,
838,shn,wikibooks,Shan,&#4213;&#4226;&#4194;&#4121;&#4154;&#4152;&#4112;&#4230;&#4152;&#4124;&#4144;&#4100;&#4154;,196,4437,11011,2,480,2,0,0.0442,2025-05-03 04:01:56,
